simulation_id,team,points
15,Greenwood,3
15,Hannibal,0
15,Hillcrest,0
15,Holt,0
15,Incarnate Word Academy,4
15,Jefferson City,0
15,John Burroughs,101
15,Kearney,54
15,Ladue Horton Watkins,33
15,Lebanon,47
15,Lincoln College Prep,0
15,Logan-Rogersville,0
15,Louisiana,91
15,Lutheran South,31
15,Lutheran St. Charles,0
15,Mehlville,30
15,Monett,18
15,Nerinx Hall,64
15,Nevada,11
15,New Covenant Academy,0
15,Notre Dame (Cape Girardeau),0
15,Notre Dame (St. Louis),0
15,Notre Dame de Sion,61
15,Parkway Central,242
15,Parkway North,5
15,Parkway West,85
15,Platte County,7
15,Poplar Bluff,0
15,Principia,4
15,Rockwood Summit,105
15,STEAM Academy,0
15,Savannah,7
15,Smithville,0
15,St. Charles West,0
15,St. Dominic,0
15,St. Michael the Archangel,38
15,St. Pius X (Kansas City),2
15,St. Teresa's Academy,151
15,Summit Christian Academy,0
15,Timberland,25
15,Ursuline Academy,45
15,Villa Duchesne,150
15,Visitation Academy,148
15,Warrensburg,0
15,Washington,0
15,Webb City,14
15,Webster Groves,145
15,West Plains,17
16,Battle,0
16,Belton,0
16,Bolivar,0
16,Camdenton,0
16,Capital City,17
16,Carl Junction,9
16,Central (Cape Girardeau),58
16,Central (Springfield),4
16,Clayton,60
16,Father Tolton,146
16,Ft. Zumwalt East,8
16,Ft. Zumwalt South,12
16,Glendale,17
16,Grain Valley,82
16,Grandview,0
16,Greenwood,7
16,Hannibal,0
16,Hillcrest,0
16,Holt,0
16,Incarnate Word Academy,6
16,Jefferson City,0
16,John Burroughs,96
16,Kearney,51
16,Ladue Horton Watkins,56
16,Lebanon,34
16,Lincoln College Prep,0
16,Logan-Rogersville,0
16,Louisiana,66
16,Lutheran South,32
16,Lutheran St. Charles,2
16,Mehlville,37
16,Monett,8
16,Nerinx Hall,64
16,Nevada,12
16,New Covenant Academy,0
16,Notre Dame (Cape Girardeau),0
16,Notre Dame (St. Louis),0
16,Notre Dame de Sion,58
16,Parkway Central,242
16,Parkway North,2
16,Parkway West,91
16,Platte County,10
16,Poplar Bluff,4
16,Principia,5
16,Rockwood Summit,102
16,STEAM Academy,0
16,Savannah,4
16,Smithville,3
16,St. Charles West,0
16,St. Dominic,0
16,St. Michael the Archangel,32
16,St. Pius X (Kansas City),1
16,St. Teresa's Academy,156
16,Summit Christian Academy,0
16,Timberland,24
16,Ursuline Academy,54
16,Villa Duchesne,151
16,Visitation Academy,161
16,Warrensburg,0
16,Washington,0
16,Webb City,14
16,Webster Groves,148
16,West Plains,24
17,Battle,0
17,Belton,0
17,Bolivar,0
17,Camdenton,0
17,Capital City,2
17,Carl Junction,15
17,Central (Cape Girardeau),57
17,Central (Springfield),5
17,Clayton,66
17,Father Tolton,142
17,Ft. Zumwalt East,1
17,Ft. Zumwalt South,6
17,Glendale,32
17,Grain Valley,107
17,Grandview,0
17,Greenwood,11
17,Hannibal,4
17,Hillcrest,0
17,Holt,0
17,Incarnate Word Academy,12
17,Jefferson City,0
17,John Burroughs,84
17,Kearney,38
17,Ladue Horton Watkins,49
17,Lebanon,49
17,Lincoln College Prep,0
17,Logan-Rogersville,0
17,Louisiana,59
17,Lutheran South,33
17,Lutheran St. Charles,0
17,Mehlville,32
17,Monett,15
17,Nerinx Hall,63
17,Nevada,9
17,New Covenant Academy,0
17,Notre Dame (Cape Girardeau),0
17,Notre Dame (St. Louis),0
17,Notre Dame de Sion,71
17,Parkway Central,238
17,Parkway North,5
17,Parkway West,78
17,Platte County,4
17,Poplar Bluff,6
17,Principia,4
17,Rockwood Summit,95
17,STEAM Academy,0
17,Savannah,26
17,Smithville,2
17,St. Charles West,0
17,St. Dominic,0
17,St. Michael the Archangel,40
17,St. Pius X (Kansas City),0
17,St. Teresa's Academy,159
17,Summit Christian Academy,0
17,Timberland,27
17,Ursuline Academy,45
17,Villa Duchesne,149
17,Visitation Academy,140
17,Warrensburg,0
17,Washington,0
17,Webb City,10
17,Webster Groves,161
17,West Plains,19
18,Battle,0
18,Belton,0
18,Bolivar,0
18,Camdenton,0
18,Capital City,7
18,Carl Junction,16
18,Central (Cape Girardeau),60
18,Central (Springfield),0
18,Clayton,52
18,Father Tolton,143
18,Ft. Zumwalt East,11
18,Ft. Zumwalt South,11
18,Glendale,29
18,Grain Valley,85
18,Grandview,0
18,Greenwood,5
18,Hannibal,0
18,Hillcrest,0
18,Holt,0
18,Incarnate Word Academy,3
18,Jefferson City,0
18,John Burroughs,99
18,Kearney,31
18,Ladue Horton Watkins,50
18,Lebanon,29
18,Lincoln College Prep,0
18,Logan-Rogersville,0
18,Louisiana,82
18,Lutheran South,33
18,Lutheran St. Charles,0
18,Mehlville,31
18,Monett,20
18,Nerinx Hall,67
18,Nevada,15
18,New Covenant Academy,0
18,Notre Dame (Cape Girardeau),0
18,Notre Dame (St. Louis),0
18,Notre Dame de Sion,58
18,Parkway Central,237
18,Parkway North,8
18,Parkway West,93
18,Platte County,7
18,Poplar Bluff,0
18,Principia,9
18,Rockwood Summit,104
18,STEAM Academy,0
18,Savannah,2
18,Smithville,0
18,St. Charles West,0
18,St. Dominic,0
18,St. Michael the Archangel,33
18,St. Pius X (Kansas City),0
18,St. Teresa's Academy,152
18,Summit Christian Academy,0
18,Timberland,20
18,Ursuline Academy,88
18,Villa Duchesne,151
18,Visitation Academy,151
18,Warrensburg,0
18,Washington,0
18,Webb City,14
18,Webster Groves,136
18,West Plains,28
19,Battle,0
19,Belton,0
19,Bolivar,0
19,Camdenton,0
19,Capital City,15
19,Carl Junction,11
19,Central (Cape Girardeau),58
19,Central (Springfield),0
19,Clayton,72
19,Father Tolton,154
19,Ft. Zumwalt East,13
19,Ft. Zumwalt South,9
